일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
7/1/2023,북강릉(104),X,30.7,29.1,23.7,18.3,84.8,X,관심,X,낮음
7/1/2023,동해(106),X,28,25.4,22.2,19.4,92.9,X, ,X,낮음
7/1/2023,서울(108),O,33.6,32.9,27.7,23.3,76.9,O,주의,X,매우높음
7/1/2023,인천(112),X,30.1,28.7,25.2,22,82,O,주의,X,매우높음
7/1/2023,원주(114),X,32,32.9,27.9,23.1,68.9,O,주의,X,낮음
7/1/2023,울릉도(115),X,27,25,22.2,19.2,88.4,X, ,X,높음
7/1/2023,수원(119),X,32.2,31.2,26.1,21.2,81.1,O,관심,X,매우높음
7/1/2023,영월(121),X,31.6,32.4,25.4,20.7,77.6,O,주의,X,낮음
7/1/2023,충주(127),X,32.8,33,27.3,23.2,76,O,관심,X,높음
7/1/2023,서산(129),O,33,32.2,26,21.2,82.6,X,관심,X,매우높음
7/1/2023,울진(130),X,25.9,23.6,21.5,19.1,91.1,X, ,X,매우높음
7/1/2023,청주(131),O,33,33.9,28.7,24.7,68.5,O,관심,O,매우높음
7/1/2023,대전(133),X,32.8,33.1,27.3,23,75.6,O,관심,X,높음
7/1/2023,추풍령(135),X,30.9,30.3,24.9,21,83,O,관심,X,매우높음
7/1/2023,안동(136),X,31.3,31.2,25.6,20.3,78.5,O,관심,X,매우높음
7/1/2023,상주(137),X,32.6,32,26.5,22.2,82.6,O,관심,X,매우높음
7/1/2023,포항(138),X,27.7,26.3,23.1,20.5,84.4,X, ,X,높음
7/1/2023,군산(140),X,30.9,29.1,25.3,23.1,87.5,X,관심,X,매우높음
7/1/2023,대구(143),X,31.2,31.3,25.8,21.6,76.1,O,관심,X,보통
7/1/2023,전주(146),X,32.3,31.3,26.3,23.2,81.8,O,관심,X,매우높음
7/1/2023,울산(152),X,28.8,27.7,23.1,20.4,82.8,O, ,X,높음
7/1/2023,창원(155),X,29.1,27.4,23,21.2,86.4,O,관심,X,높음
7/1/2023,광주(156),O,33.4,31.2,25.3,22.7,96.1,O,관심,X,매우높음
7/1/2023,부산(159),X,28.1,27.1,23.3,21.1,79.3,X, ,X,높음
7/1/2023,통영(162),X,28.9,27.1,23.2,21.4,88.1,X, ,X,높음
7/1/2023,목포(165),X,30.3,28.5,24.4,22,89.4,X, ,X,매우높음
7/1/2023,여수(168),X,28.2,26.1,23,21.6,92,X, ,X,높음
7/1/2023,흑산도(169),X,28,25.8,22.2,20.5,94.8,X, ,X,매우높음
7/1/2023,완도(170),X,31.2,29.7,24.3,22.1,90.1,X, ,X,매우높음
7/1/2023,고창(172),X,,,,,,O,관심,X,매우높음
7/1/2023,제주(184),X,29.5,28.4,25.4,23.5,82.5,X, ,X,보통
7/1/2023,진주(192),X,30.6,28.7,24.2,21.7,90,X,관심,X,보통
7/1/2023,양평(202),X,32.4,33.5,27.6,22.6,72.5,O,주의,X,매우높음
7/1/2023,이천(203),O,33.9,33.4,27.7,22.9,79.5,O,주의,X,매우높음
7/1/2023,인제(211),X,32.4,33.7,25.7,19.7,76,O,주의,X,낮음
7/1/2023,홍천(212),X,32.6,33.9,27,22,71.8,O,주의,X,낮음
7/1/2023,태백(216),X,29.9,31.5,23.3,16.3,72.8,X, ,X,낮음
7/1/2023,정선군(217),O,33.5,34.5,26,20.5,74.6,O,주의,X,낮음
